client,year_month,total_amount,purchase_count,garden_purchase,target
client10016,2018-11,19151,3,0,0
client10016,2018-12,9171,3,0,0
client10016,2019-02,1427,1,0,0
client10016,2019-04,5699,1,0,1
client10016,2019-05,6006,4,1,0
client10017,2019-01,570,1,0,0
client10017,2019-02,603,3,0,1
client10017,2019-04,965,2,1,0
client10017,2019-06,573,2,0,0
client10017,2019-07,3268,2,0,0
client10018,2019-04,26295,12,1,0
client10018,2019-05,36384,3,0,0
client10018,2019-06,1675,1,0,1
client10018,2019-07,497,2,1,0
client10018,2019-08,847,3,0,0
client10018,2019-09,3451,3,0,1
client10019,2017-11,3994,1,0,0
client10019,2018-09,3999,1,0,0
client10019,2019-04,5090,1,0,0
client1002,2018-12,1315,1,1,0
client1002,2019-01,846,1,0,1
client10020,2018-12,9970,1,0,1
client10020,2019-01,332,1,1,0
client10020,2019-02,263,1,0,0
client10023,2018-07,1870,1,1,1
client10023,2018-08,16767,8,1,0
client10023,2018-09,13486,8,0,0
client10023,2018-10,39480,7,0,0
client10023,2018-11,719,1,0,0
client10023,2018-12,845,1,0,0
client10023,2019-03,2664,2,0,0
client10023,2019-05,4396,2,0,1
client10023,2019-06,12437,3,1,0
client10023,2019-07,157,1,0,0
client10023,2019-09,1653,1,0,0
client10027,2018-08,3811,1,0,0
client10028,2018-04,2835,1,1,0
client10028,2018-07,322,1,0,0
client10028,2018-11,3258,1,0,1
client10028,2018-12,2010,4,1,0
client10029,2018-09,1837,1,1,1
client1003,2017-11,1556,1,0,0
client1003,2017-12,383,1,0,1
client1003,2018-01,2694,2,1,0
client1003,2018-02,549,1,0,1
client1003,2018-12,310,2,1,0
client10030,2018-12,1325,1,0,1
client10030,2019-03,138,1,1,1
client10031,2017-09,3238,1,0,0
client10031,2017-10,4562,5,0,0
client10031,2018-03,10986,3,0,1
client10031,2018-04,447,1,1,0
client10031,2018-05,169,1,0,0
client10031,2018-07,779,1,0,0
client10031,2018-09,942,1,0,0
client10031,2018-10,3055,3,0,0
client10031,2019-01,1042,2,0,0
client10031,2019-03,158,1,0,0
client10031,2019-05,727,1,0,0
client10031,2019-07,375,2,0,0
client10034,2018-09,3190,1,0,0
client10036,2018-02,4179,2,0,0
client10037,2018-05,3574,1,1,0
client10037,2018-08,1851,2,0,0
client10037,2018-11,4458,1,0,0
client10037,2019-01,18696,5,0,1
client10037,2019-04,2880,1,1,1
client10037,2019-05,3491,2,1,0
client10037,2019-07,12942,2,0,0
client10037,2019-08,768,1,0,1
client10038,2018-04,596,1,1,0
client10038,2019-03,129,1,0,1
client10039,2019-09,540,1,1,1
client1004,2018-12,1345,1,0,0
client10045,2019-06,370,1,0,0
client10048,2018-05,2199,1,0,0
client10048,2018-07,6337,1,0,1
client10048,2019-01,33,1,1,0
client10048,2019-05,10127,2,0,0
client10048,2019-07,8415,3,0,0
client1005,2018-04,2290,1,1,1
client1005,2018-05,1682,2,1,1
client1005,2018-06,1120,1,1,0
client10050,2018-03,5246,3,1,1
client10050,2018-04,838,2,1,1
client10050,2018-05,421,1,1,1
client10050,2018-06,697,1,1,0
client10050,2018-07,7699,1,0,0
client10050,2018-11,394,2,0,1
client10050,2019-04,128,1,1,0
client10051,2018-03,8547,1,1,1
client10051,2018-10,10131,1,1,1
client10053,2018-01,1083,1,1,1
client10053,2018-06,465,1,1,1
client10053,2018-07,1264,3,1,1
client10053,2018-08,572,2,1,1
client10053,2018-09,1073,2,1,1
client10053,2018-10,1894,5,1,0
client10053,2018-11,1985,2,0,1
client10053,2018-12,412,3,1,0
client10053,2019-01,168,1,0,1
client10053,2019-03,1268,4,1,1
client10053,2019-04,1770,3,1,1
client10053,2019-05,896,3,1,1
client10053,2019-06,275,2,1,1
client10053,2019-08,198,1,1,1
client10053,2019-09,5794,3,1,1
client10055,2018-05,1950,3,0,0
client10055,2018-06,49,1,0,0
client10055,2018-08,882,2,0,0
client10055,2018-09,4176,3,0,0
client10059,2018-09,1128,1,0,0
client10059,2019-02,2596,1,0,0
client10059,2019-03,3541,1,0,0
client10059,2019-05,194,1,0,1
client10059,2019-06,377,1,1,0
client10059,2019-07,348,1,0,0
client10060,2018-03,2072,1,1,1
client10061,2018-03,3524,2,1,0
client10061,2018-05,654,2,0,0
client10061,2019-02,1125,1,0,0
client10062,2018-11,1580,1,0,0
client10063,2018-07,896,1,1,1
client10063,2018-08,3632,2,1,1
client10065,2018-02,1268,1,0,0
client10068,2019-03,9626,2,0,0
client10069,2018-05,1225,1,0,1
client1007,2018-09,5815,2,0,0
client1007,2018-10,3372,3,0,0
client10070,2018-11,7009,3,0,0
client10070,2018-12,1317,2,0,0
client10070,2019-03,2323,5,0,0
client10070,2019-04,1453,3,0,0
client10070,2019-05,1130,4,0,0
client10070,2019-06,1285,5,0,0
client10070,2019-07,18,1,0,0
client10071,2018-12,698,1,0,0
client10071,2019-01,111,1,0,1
client10071,2019-03,581,2,1,1
client10071,2019-04,515,2,1,0
client10071,2019-08,258,1,0,0
client10072,2019-08,35319,1,0,0
client10073,2018-10,3432,1,1,0
client10073,2019-08,653,3,0,0
client10075,2017-10,5108,5,0,0
client10076,2018-09,12792,2,0,0
client10076,2018-10,3703,2,0,0
client10076,2018-11,981,2,0,0
client10076,2018-12,1549,1,0,0
client10076,2019-06,1648,1,0,0
client10076,2019-09,2428,1,0,0
client10077,2018-07,8827,2,0,1
client10077,2018-11,90,1,1,0
client10077,2018-12,1866,3,0,0
client10077,2019-03,3966,1,0,1
client10077,2019-04,5128,2,1,1
client10077,2019-05,1903,1,1,0
client10078,2018-11,1997,1,0,0
client10078,2018-12,463,2,0,0
client10078,2019-03,656,1,0,0
client10078,2019-04,292,1,0,0
client10078,2019-06,1499,1,0,0
client10078,2019-07,9859,1,0,0
client10079,2019-04,434,1,1,0
client1008,2017-10,897,1,0,0
client1008,2019-09,2999,1,0,0
client10080,2019-02,2427,1,0,0
client10080,2019-03,1605,2,0,0
client10082,2019-02,6396,1,0,1
client10082,2019-03,3378,1,1,0
client10082,2019-05,8107,2,0,1
client10082,2019-06,1248,5,1,0
client10083,2018-08,8080,1,0,0
client10083,2018-09,2264,4,0,1
client10086,2018-04,1578,1,1,1
client10086,2018-05,2197,1,1,0
client10086,2018-06,199,1,0,1
client10086,2018-07,1045,2,1,1
client10086,2018-08,5152,3,1,0
client10086,2018-10,7685,1,0,0
client10086,2018-11,2698,1,0,0
client10086,2019-03,7965,1,0,1
client10087,2017-12,1694,2,0,1
client10087,2018-02,485,1,1,1
client10087,2018-03,745,1,1,1
client10087,2018-04,6861,1,1,1
client10087,2018-05,2502,1,1,0
client10087,2018-07,1277,1,0,0
client10087,2018-11,1119,1,0,1
client10087,2018-12,183,1,1,1
client10087,2019-01,6973,1,1,1
client10087,2019-04,4662,2,1,1
client10087,2019-06,14584,3,1,1
client10087,2019-07,4649,3,1,0
client10087,2019-08,3616,2,0,1
client10089,2018-09,1997,1,0,0
client10089,2019-07,7606,3,0,0
client10089,2019-09,1199,1,0,0
client1009,2019-03,1694,1,1,1
client1009,2019-04,6406,2,1,1
client1009,2019-05,1018,1,1,0
client1009,2019-06,132,1,0,1
client10090,2019-03,1672,3,1,0
client10091,2019-04,2205,3,1,1
client10091,2019-05,2287,4,1,0
client10091,2019-06,899,1,0,1
client10091,2019-07,631,2,1,0
client10091,2019-09,70,1,0,1
client10093,2018-10,1805,1,1,1
client10093,2018-11,2135,2,1,1
client10093,2018-12,167,1,1,1
client10093,2019-01,1858,1,1,0
client10093,2019-03,1242,2,0,0
client10095,2017-11,4198,2,1,0
client10095,2018-01,39,1,0,0
client10095,2018-03,249,1,0,0
client10097,2018-08,12732,4,0,0
client10097,2018-10,891,1,0,0
client10097,2018-11,2896,4,0,0
client10097,2018-12,295,1,0,0
client10097,2019-01,2724,3,0,0
client10097,2019-04,293,1,0,0
client10097,2019-05,2125,3,0,0
client10097,2019-06,194,1,0,0
client10097,2019-09,1225,2,0,0
client10098,2017-10,7421,1,0,0
client10098,2018-04,1880,1,0,0
client10098,2018-08,688,1,0,1
client10099,2018-05,3551,3,1,0
client10099,2018-06,570,2,0,0
client10099,2018-07,2840,4,0,0
client10099,2018-08,15655,3,0,0
client10099,2018-09,236,1,0,1
client10099,2018-10,3391,5,1,0
client10099,2018-11,79,1,0,0
client10099,2019-04,6403,5,0,1
client10099,2019-05,359,3,1,0
client101,2017-09,1530,1,0,0
client101,2018-08,599,1,0,0
client1010,2018-08,349,1,1,1
client10100,2018-12,9668,1,0,0
client10100,2019-04,373,1,0,1
client10100,2019-06,10994,1,1,1
client10100,2019-07,15254,3,1,0
client10100,2019-08,1348,1,0,0
client10100,2019-09,14820,1,0,0
client10103,2019-05,18985,2,0,0
client10104,2018-04,809,1,1,1
client10104,2018-05,515,1,1,1
client10107,2017-10,2128,1,1,1
client10107,2017-11,1299,1,1,1
client10107,2017-12,743,3,1,1
client10107,2018-02,920,2,1,1
client10107,2018-03,1330,2,1,1
client10107,2018-04,1925,4,1,1
client10107,2018-05,2328,2,1,1
client10107,2018-06,219,1,1,1
client10107,2018-07,663,1,1,0
client10107,2018-08,656,1,0,0
client10107,2018-09,468,2,0,1
client10107,2018-10,815,2,1,1
client10107,2018-11,6354,9,1,1
client10107,2019-01,434,2,1,0
client10107,2019-02,415,2,0,1
client10107,2019-03,953,2,1,1
client10107,2019-04,3169,3,1,1
client10107,2019-05,9924,5,1,1
client10107,2019-06,638,1,1,0
client10107,2019-08,1399,1,0,1
client1011,2018-12,13487,5,0,0
client1011,2019-02,927,2,0,0
client1011,2019-03,1393,2,0,0
client1011,2019-04,1137,3,0,0
client1011,2019-05,109,1,0,0
client1011,2019-06,149,1,0,0
client1011,2019-07,65,1,0,0
client1011,2019-08,319,1,0,0
client1011,2019-09,3356,6,0,0
client10112,2018-01,3374,3,0,0
client10112,2018-02,24894,7,0,0
client10112,2018-03,386,2,0,1
client10112,2018-04,2079,3,1,0
client10112,2018-06,207,1,0,1
client10112,2018-08,649,1,1,0
client10112,2018-09,4229,3,0,1
client10112,2018-10,188,1,1,1
client10112,2019-02,386,2,1,1
client10112,2019-03,594,1,1,0
client10112,2019-04,299,1,0,1
client10112,2019-05,798,2,1,0
client10112,2019-08,297,1,0,1
client10115,2018-02,447,1,0,1
client10116,2018-08,294,3,0,0
client10116,2018-09,17146,1,0,0
client10116,2018-11,1194,5,0,0
client10117,2017-11,3999,1,0,0
client10117,2018-08,125,1,0,0
client10117,2018-12,6108,1,0,0
client10117,2019-03,123,1,0,0
client10117,2019-08,698,1,0,0
client10119,2019-02,15330,10,0,0
client10119,2019-03,5363,3,0,1
client10119,2019-05,1595,1,1,1
client10119,2019-06,5746,4,1,0
client1012,2018-04,5717,1,1,1
client1012,2018-05,5123,2,1,1
client1012,2018-06,520,1,1,1
client1012,2018-08,2578,2,1,1
client1012,2018-10,909,1,1,0
client1012,2018-12,812,2,0,1
client10120,2018-03,4311,2,1,1
client10120,2018-05,2564,1,1,0
client10120,2018-06,22341,2,0,0
client10120,2018-07,15514,4,0,0
client10120,2018-08,20758,4,0,0
client10120,2018-09,136,1,0,1
client10120,2018-11,23507,4,1,0
client10120,2018-12,8649,1,0,0
client10120,2019-02,395,1,0,0
client10120,2019-07,309,1,0,0
client10123,2017-11,4062,1,0,1
client10123,2017-12,368,2,1,0
client10123,2018-01,69,1,0,0
client10123,2018-02,52,1,0,1
client10123,2018-03,624,4,1,0
client10123,2018-04,178,1,0,1
client10123,2018-06,4036,3,1,0
client10123,2018-11,737,1,0,1
client10123,2018-12,9365,6,1,0
client10123,2019-01,64,1,0,1
client10123,2019-03,2251,3,1,0
client10123,2019-04,149,1,0,0
client10123,2019-05,12921,3,0,0
client10123,2019-06,528,3,0,0
client10123,2019-07,5456,4,0,0
client10123,2019-08,4631,3,0,0
client10123,2019-09,3158,5,0,0
client10125,2018-02,2860,1,1,1
client10125,2018-03,569,1,1,1
client10125,2018-04,6657,2,1,1
client10125,2018-05,590,1,1,0
client10125,2018-07,25675,1,0,0
client10125,2018-08,8599,2,0,1
client10125,2018-10,2256,1,1,1
client10125,2018-11,1791,1,1,1
client10125,2019-02,2879,2,1,1
client10125,2019-04,9014,4,1,1
client10125,2019-05,17273,6,1,0
client10125,2019-06,9137,1,0,1
client10125,2019-07,7581,2,1,1
client10125,2019-09,3235,1,1,1
client10128,2017-10,1693,1,1,1
client10128,2018-02,473,1,1,1
client10128,2018-03,892,1,1,1
client10128,2018-05,3493,2,1,0
client10128,2018-06,3661,2,0,1
client10128,2018-07,479,1,1,1
client10128,2018-09,1409,1,1,1
client10128,2018-11,49,1,1,0
client10128,2018-12,405,1,0,0
client10128,2019-01,977,1,0,1
client10128,2019-03,9304,2,1,1
client10128,2019-05,1704,1,1,1
client10128,2019-06,91,1,1,1
client10128,2019-08,16678,3,1,0
client10128,2019-09,1659,2,0,1
client10129,2018-01,2198,2,1,1
client10129,2018-02,2809,3,1,1
client10129,2018-03,70,1,1,1
client10129,2018-04,2655,1,1,0
client10129,2018-11,454,1,0,0
client10129,2018-12,99,1,0,1
client10129,2019-02,4983,2,1,1
client10129,2019-05,1434,1,1,0
client1013,2018-01,5884,4,0,0
client1013,2018-02,4875,7,0,0
client1013,2018-03,3003,5,0,0
client1013,2018-04,1004,3,0,0
client1013,2018-09,667,1,0,0
client1013,2019-01,3840,2,0,0
client1013,2019-02,1219,2,0,0
client1013,2019-03,33,1,0,0
client1013,2019-05,399,1,0,0
client1013,2019-06,3613,3,0,1
client1013,2019-07,7617,4,1,0
client1013,2019-08,29241,5,0,0
client10130,2019-02,1083,1,1,0
client10130,2019-03,723,2,0,1
client10130,2019-04,910,1,1,1
client10130,2019-05,1938,3,1,1
client10131,2018-04,1566,1,0,0
client10131,2018-05,7008,5,0,0
client10131,2018-06,3027,2,0,0
client10131,2018-09,9959,1,0,0
client10131,2018-10,2473,3,0,0
client10131,2019-01,6675,1,0,0
client10131,2019-02,370,1,0,0
client10131,2019-03,9039,9,0,0
client10131,2019-04,4541,5,0,0
client10131,2019-05,2936,3,0,0
client10132,2018-05,311,1,0,1
client10132,2018-07,1907,3,1,1
client10132,2018-08,1138,3,1,0
client10132,2018-09,3307,3,0,1
client10132,2018-10,1324,2,1,0
client10132,2018-11,118,1,0,0
client10132,2018-12,3513,7,0,1
client10132,2019-01,1907,4,1,1
client10132,2019-02,1234,3,1,1
client10132,2019-03,938,5,1,1
client10132,2019-04,129,1,1,1
client10132,2019-05,250,1,1,1
client10132,2019-06,574,3,1,1
client10132,2019-07,2071,1,1,1
client10132,2019-08,1246,3,1,1
client10132,2019-09,749,3,1,1
client10135,2019-05,1192,4,1,1
client10135,2019-06,463,3,1,1
client10135,2019-07,165,1,1,1
client10136,2018-03,1654,1,1,0
client10139,2018-04,6047,1,0,0
client10139,2018-07,823,1,0,0
client1014,2019-08,61482,14,0,0
client10140,2017-11,3178,2,0,1
client10143,2019-03,4997,1,0,1
client10143,2019-04,1792,1,1,0
client10143,2019-05,55,1,0,1
client10143,2019-06,321,2,1,1
client10143,2019-07,4248,4,1,0
client10143,2019-08,279,1,0,1
client10144,2019-05,4014,2,1,1
client10144,2019-06,696,1,1,1
client10144,2019-07,8048,3,1,1
client10144,2019-09,4877,2,1,0
client10145,2018-11,71754,9,0,1
client10145,2018-12,9795,4,1,0
client10145,2019-01,19184,2,0,0
client10145,2019-02,3911,1,0,0
client10145,2019-03,9301,2,0,1
client10145,2019-05,6012,2,1,0
client10145,2019-08,2899,1,0,0
client10146,2019-01,1255,1,1,0
client10146,2019-03,1465,1,0,0
client10146,2019-08,178,1,0,0
client10147,2017-10,2750,1,0,0
client10147,2017-12,314,2,0,0
client10147,2018-03,266,2,0,1
client10147,2018-05,1415,2,1,1
client10147,2018-07,1958,3,1,0
client10147,2018-08,294,2,0,0
client10147,2019-05,443,1,0,0
client10147,2019-06,118,1,0,1
client10148,2019-05,867,1,0,0
client10149,2019-08,440,1,1,0
client1015,2018-01,3909,1,1,0
client1015,2018-03,1293,1,0,0
client1015,2018-04,6450,2,0,0
client1015,2018-06,2143,2,0,1
client1015,2018-08,15873,6,1,0
client1015,2018-09,2309,4,0,0
client1015,2018-10,4932,5,0,1
client1015,2019-03,79,1,1,0
client10150,2018-02,1999,1,0,0
client10150,2018-12,230,1,0,1
client10150,2019-03,1399,1,1,0
client10152,2018-08,13368,2,0,0
client10152,2018-12,2870,1,0,1
client10154,2019-02,1139,1,1,1
client10154,2019-04,2291,3,1,1
client10154,2019-06,1552,1,1,0
client10154,2019-09,1697,1,0,1
client10155,2017-09,2525,1,0,1
client10155,2019-06,32462,4,1,0
client10156,2019-03,5748,1,1,1
client10156,2019-04,19734,2,1,0
client10160,2018-11,2341,1,0,0
client10161,2017-09,1789,1,0,0
client10161,2017-10,1640,1,0,0
client10161,2018-02,583,2,0,1
client10161,2018-04,158,2,1,1
client10161,2018-05,289,2,1,1
client10161,2018-06,1540,3,1,1
client10161,2018-07,2260,3,1,0
client10161,2018-08,393,1,0,1
client10161,2018-09,3882,3,1,1
client10161,2018-10,539,1,1,0
client10161,2018-11,737,2,0,1
client10161,2019-04,1538,2,1,1
client10161,2019-05,469,2,1,0
client10161,2019-06,2771,4,0,0
client10161,2019-07,2313,6,0,0
client10161,2019-09,417,1,0,1
client10162,2019-08,4190,4,0,0
client10163,2019-03,9622,8,0,0
client10163,2019-04,749,2,0,1
client10163,2019-05,20756,13,1,0
client10163,2019-06,209,1,0,0
client10163,2019-07,9865,2,0,0
client10165,2019-01,8648,1,1,1
client10165,2019-06,1095,1,1,1
client10166,2017-10,3333,1,0,0
client10168,2018-08,15284,11,1,1
client10168,2018-09,3407,3,1,0
client10168,2018-10,49,1,0,0
client10168,2018-11,3443,1,0,0
client10168,2018-12,1163,2,0,1
client10168,2019-02,67,1,1,1
client10168,2019-04,2157,1,1,1
client10168,2019-05,153,1,1,0
client10168,2019-06,2845,2,0,0
client10168,2019-07,6375,11,0,1
client1017,2018-02,15718,3,0,0
client10171,2018-03,2240,1,1,1
client10171,2018-06,591,2,1,0
client10171,2018-07,3699,1,0,0
client10171,2018-08,277,1,0,0
client10171,2018-09,599,1,0,0
client10171,2018-11,1574,1,0,0
client10171,2019-02,228,1,0,0
client10171,2019-07,1496,1,0,0
client10172,2018-08,1599,1,0,0
client10172,2018-09,3817,1,0,1
client10172,2018-10,1034,2,1,0
client10172,2018-12,1934,3,0,0
client10172,2019-04,9116,2,0,1
client10172,2019-07,401,1,1,0
client10173,2017-09,3679,1,0,1
client10173,2017-10,911,2,1,0
client10174,2017-11,1247,1,0,0
client10174,2018-03,2492,1,0,1
client10178,2017-10,2328,1,0,0
client10179,2019-07,1667,1,0,0
client10179,2019-08,129,1,0,1
client10179,2019-09,1597,1,1,1
client10182,2017-12,5097,1,0,1
client10182,2018-02,549,1,1,1
client10182,2018-04,252,1,1,1
client10182,2018-10,562,2,1,0
client10182,2018-11,518,1,0,1
client10182,2018-12,790,2,1,0
client10182,2019-01,372,2,0,0
client10182,2019-02,1127,1,0,0
client10182,2019-04,1858,2,0,1
client10182,2019-05,1435,3,1,0
client10182,2019-08,699,1,0,0
client10182,2019-09,494,2,0,1
client10186,2019-07,3158,1,0,0
client10186,2019-08,3775,1,0,0
client10186,2019-09,4343,2,0,0
client10187,2018-11,20684,4,0,0
client10187,2019-01,4655,2,0,0
client10188,2018-03,2774,1,0,1
client10188,2018-08,14015,2,1,1
client10188,2019-04,6955,3,1,1
client10188,2019-07,948,1,1,1
client10189,2017-11,23307,6,0,0
client1019,2019-08,17086,3,0,0
client10190,2018-02,1022,1,0,0
client10190,2018-03,414,1,0,0
client10190,2018-07,603,1,0,0
client10190,2018-08,636,1,0,0
client10190,2018-10,105,1,0,0
client10190,2018-11,334,1,0,0
client10190,2018-12,350,1,0,0
client10190,2019-05,1317,1,0,0
client10190,2019-08,1145,2,0,0
client10190,2019-09,298,1,0,0
client10192,2018-04,1798,1,1,0
client10192,2019-04,1352,1,0,1
client10192,2019-05,2652,3,1,0
client10193,2019-05,9198,2,0,0
client10194,2019-05,1999,1,0,0
client10195,2018-09,212,1,1,1
client10195,2018-10,89,1,1,0
client10195,2019-01,45,1,0,0
client10195,2019-02,74,1,0,1
client10195,2019-03,771,2,1,1
client10195,2019-04,758,2,1,1
client10195,2019-05,897,2,1,1
client10195,2019-06,1880,2,1,1
client10195,2019-08,950,1,1,1
client10195,2019-09,339,1,1,1
client10196,2018-07,1627,1,1,0
client10196,2019-01,1838,7,0,0
client10196,2019-02,437,2,0,0
client10196,2019-03,350,3,0,0
client10196,2019-04,1762,2,0,1
client10196,2019-05,4752,1,1,0
client10196,2019-06,1437,2,0,0
client10197,2018-07,9478,3,0,0
client10197,2018-08,8176,2,0,0
client10197,2018-09,10043,6,0,0
client10197,2018-10,3453,2,0,0
client10197,2018-11,518,1,0,0
client10197,2018-12,3043,3,0,0
client10198,2019-06,7998,1,0,1
client10199,2017-12,1812,2,1,0
client10199,2018-12,135,1,0,1
client10199,2019-01,986,2,1,0
client10199,2019-02,4662,3,0,0
client10199,2019-03,2884,4,0,0
client10199,2019-04,2453,2,0,0
client10199,2019-05,99,1,0,0
client10199,2019-06,2097,5,0,0
client10199,2019-07,329,1,0,0
client10199,2019-08,1139,5,0,0
client10200,2019-01,1214,1,0,0
client10201,2018-05,883,1,0,0
client10202,2019-06,404,1,1,0
client10202,2019-07,139,1,0,0
client10202,2019-08,1583,3,0,0
client10203,2017-11,77,1,1,1
client10203,2018-01,8499,1,1,0
client10203,2018-05,9210,4,0,1
client10203,2018-06,3275,3,1,0
client10203,2018-10,4799,1,0,1
client10203,2019-05,180,1,1,0
client10204,2018-01,1587,1,0,1
client10204,2018-04,452,2,1,1
client10204,2018-05,25041,2,1,1
client10204,2018-06,23,1,1,0
client10204,2018-07,3999,1,0,0
client10204,2018-08,1125,1,0,1
client10204,2018-10,518,1,1,1
client10204,2019-01,66,1,1,1
client10204,2019-02,175,1,1,1
client10204,2019-04,719,2,1,1
client10204,2019-05,318,2,1,1
client10204,2019-06,1591,1,1,1
client10204,2019-08,471,2,1,0
client10205,2018-08,14234,2,0,0
client10205,2018-12,2444,1,0,0
client10205,2019-01,871,1,0,1
client10205,2019-05,844,1,1,0
client10205,2019-06,890,1,0,0
client10206,2018-02,2670,2,1,0
client10206,2018-03,5998,1,0,0
client10206,2018-05,1978,1,0,0
client10206,2018-07,8928,3,0,0
client10206,2018-08,6807,2,0,0
client10206,2018-11,16490,1,0,1
client10206,2019-01,1206,2,1,0
client10206,2019-02,360,1,0,1
client10206,2019-05,9572,3,1,0
client10206,2019-06,35295,3,0,0
client10206,2019-07,12990,1,0,0
client10207,2019-08,218,1,0,0
client10207,2019-09,28127,6,0,0
client10208,2019-02,26286,2,0,0
client10209,2019-08,1134,1,1,0
client1021,2018-09,2067,2,0,0
client1021,2018-11,59,1,0,1
client1021,2019-04,128,1,1,0
client1021,2019-07,9297,2,0,0
client1021,2019-09,179,1,0,0
client10210,2018-02,4047,1,0,1
client10210,2018-05,72,1,1,0
client10210,2018-10,349,1,0,0
client10210,2018-11,95,1,0,0
client10210,2019-02,157,1,0,0
client10210,2019-06,7365,1,0,0
client10212,2018-02,9321,3,0,0
client10213,2018-10,1398,1,0,0
client10214,2018-02,1756,1,0,1
client10214,2018-03,842,1,1,0
client10214,2018-04,405,3,0,0
client10214,2018-11,229,1,0,1
client10216,2018-12,4499,1,0,0
client10216,2019-04,533,1,0,0
client10216,2019-06,524,2,0,0
client10217,2018-08,346,1,1,1
client10217,2019-02,1005,1,1,1
client10217,2019-04,202,1,1,0
client10217,2019-05,2911,1,0,1
client10218,2019-03,2275,1,1,1
client1022,2018-09,12296,3,1,0
client10220,2017-10,3196,1,0,1
client10220,2018-12,477,1,1,0
client10220,2019-01,137,1,0,0
client10220,2019-02,406,3,0,0
client10220,2019-03,128,1,0,0
client10220,2019-04,3399,1,0,1
client10220,2019-05,6486,1,1,0
client10220,2019-06,199,1,0,0
client10220,2019-07,1956,1,0,0
client10221,2017-12,2743,1,0,1
client10223,2019-05,2819,1,0,0
client10224,2019-08,10529,2,0,0
client10224,2019-09,2830,6,0,0
client10225,2018-05,11045,1,0,0
client10225,2019-02,2896,1,0,0
client10225,2019-09,99,1,0,0
client10226,2018-01,2499,1,0,1
client10226,2018-06,5999,1,1,0
client10228,2017-09,171,1,1,1
client10229,2017-10,728,1,0,0
client10229,2018-01,129,1,0,1
client10229,2019-02,844,1,1,1
client10231,2018-05,7680,1,0,0
client10231,2018-06,5373,2,0,0
client10231,2018-07,537,1,0,0
client10231,2018-08,11520,8,0,0
client10231,2018-09,42714,8,0,0
client10231,2018-10,810,1,0,0
client10231,2018-11,3178,3,0,0
client10231,2018-12,26083,2,0,1
client10231,2019-01,12682,2,1,1
client10231,2019-02,38546,6,1,0
client10231,2019-03,14400,2,0,0
client10231,2019-04,376,2,0,1
client10231,2019-05,3189,4,1,1
client10231,2019-06,1681,2,1,0
client10231,2019-07,55437,6,0,0
client10231,2019-08,7871,2,0,1
client10231,2019-09,7785,2,1,0
client10232,2017-11,1756,1,0,0
client10233,2018-09,65,1,0,0
client10233,2018-11,209,1,0,0
client10233,2019-02,230,1,0,1
client10234,2019-08,10673,2,1,1
client10234,2019-09,1881,2,1,1
client10235,2018-05,1576,1,0,0
client10235,2018-07,2568,2,0,0
