client,recency,frequency,monetary,total_quantity,avg_check,total_unique_items,avg_items_per_visit,weekend_visits,amount_last_visit,event
client1005,266,5,5276,87,1055.2,57,17.4,2.0,68,False
client10050,87,12,16405,80,1367.0833333333333,71,6.666666666666667,3.0,15,False
client10051,127,4,42334,162,10583.5,51,40.5,2.0,196,False
client10052,64,1,8047,3,8047.0,3,3.0,1.0,399,False
client10053,18,31,13323,263,429.7741935483871,151,8.483870967741936,12.0,99,True
client10054,180,1,1059,1,1059.0,1,1.0,0.0,1059,False
client10055,351,8,7057,30,882.125,8,3.75,3.0,1260,False
client10056,302,1,1106,4,1106.0,2,4.0,1.0,899,False
client10057,354,1,638,2,638.0,2,2.0,0.0,139,False
client10058,453,1,1254,9,1254.0,5,9.0,0.0,64,False
client10059,54,6,8184,64,1364.0,29,10.666666666666666,0.0,99,False
client1006,627,1,1112,8,1112.0,1,8.0,0.0,1112,False
client10060,187,2,3340,39,1670.0,35,19.5,0.0,13,False
client10061,121,5,5462,16,1092.4,9,3.2,1.0,159,False
client10062,109,2,5007,19,2503.5,13,9.5,0.0,22,False
client10063,80,5,5198,19,1039.6,12,3.8,0.0,59,False
client10064,88,1,135,3,135.0,1,3.0,0.0,135,False
client10065,382,2,1336,13,668.0,4,6.5,0.0,68,False
client10066,399,1,1422,6,1422.0,4,6.0,1.0,238,False
client10067,69,1,21294,22,21294.0,7,22.0,0.0,94,False
client10068,98,3,10027,19,3342.3333333333335,7,6.333333333333333,1.0,371,False
client10069,181,2,1280,2,640.0,2,1.0,0.0,55,False
client1007,38,6,9686,37,1614.3333333333333,25,6.166666666666667,1.0,499,False
client10070,54,22,14535,98,660.6818181818181,66,4.454545454545454,13.0,18,True
client10071,8,7,2163,22,309.0,20,3.142857142857143,4.0,143,False
client10072,6,1,35319,57,35319.0,20,57.0,0.0,254,True
client10073,5,4,4085,13,1021.25,9,3.25,0.0,198,True
client10074,198,1,3999,1,3999.0,1,1.0,0.0,3999,False
client10075,507,6,9272,38,1545.3333333333333,21,6.333333333333333,2.0,107,False
client10076,68,8,20673,21,2584.125,11,2.625,1.0,849,True
client10077,106,10,21780,72,2178.0,34,7.2,7.0,22,False
client10078,6,9,16102,119,1789.111111111111,29,13.222222222222221,6.0,999,False
client10079,125,1,434,6,434.0,2,6.0,0.0,89,False
client1008,670,1,897,3,897.0,1,3.0,0.0,897,True
client10080,147,4,4804,20,1201.0,13,5.0,2.0,472,False
client10081,406,1,2932,14,2932.0,8,14.0,1.0,149,False
client10082,39,7,19403,44,2771.8571428571427,23,6.285714285714286,2.0,58,False
client10083,274,6,10683,39,1780.5,13,6.5,3.0,339,False
client10084,178,1,375,5,375.0,4,5.0,0.0,29,False
client10085,3,2,463,3,231.5,3,1.5,0.0,135,False
client10086,151,12,29273,67,2439.4166666666665,53,5.583333333333333,4.0,22,False
client10087,11,19,49350,251,2597.3684210526317,159,13.210526315789474,4.0,3199,False
client10088,209,1,1714,17,1714.0,14,17.0,0.0,58,False
client10089,35,4,9603,11,2400.75,5,2.75,2.0,319,True
client1009,32,9,24700,72,2744.4444444444443,35,8.0,2.0,99,False
client10090,154,3,1672,14,557.3333333333334,6,4.666666666666667,2.0,99,False
client10091,50,10,6022,43,602.2,15,4.3,5.0,79,True
client10092,110,1,999,1,999.0,1,1.0,0.0,999,False
client10093,108,8,8131,56,1016.375,30,7.0,2.0,210,False
client10095,433,5,5578,42,1115.6,20,8.4,1.0,398,False
client10096,478,1,15889,2,15889.0,2,2.0,0.0,11590,False
client10097,83,17,22150,96,1302.9411764705883,36,5.647058823529412,2.0,63,True
client10098,181,4,10203,35,2550.75,22,8.75,1.0,21,False
client10099,85,24,33742,110,1405.9166666666667,63,4.583333333333333,10.0,539,False
client101,183,3,2728,8,909.3333333333334,6,2.6666666666666665,2.0,599,False
client1010,363,2,1047,5,523.5,4,2.5,0.0,369,False
client10100,31,6,37637,29,6272.833333333333,24,4.833333333333333,2.0,399,True
client10101,2,1,177,3,177.0,1,3.0,0.0,177,False
client10103,66,3,19876,47,6625.333333333333,7,15.666666666666666,0.0,891,False
client10104,415,4,4135,40,1033.75,22,10.0,1.0,87,False
client10105,679,1,8246,14,8246.0,1,14.0,1.0,8246,False
client10106,39,1,1118,2,1118.0,1,2.0,0.0,1118,False
client10107,24,42,36780,301,875.7142857142857,172,7.166666666666667,12.0,1399,False
client10109,378,1,7999,1,7999.0,1,1.0,1.0,7999,False
client1011,26,16,17586,50,1099.125,17,3.125,2.0,319,True
client10110,38,1,4499,1,4499.0,1,1.0,0.0,4499,False
client10111,28,1,1618,2,1618.0,2,2.0,1.0,619,False
client10112,28,25,38380,125,1535.2,63,5.0,4.0,297,False
client10114,243,1,714,2,714.0,2,2.0,0.0,315,False
client10115,531,2,1290,14,645.0,8,7.0,1.0,99,False
client10116,236,9,19326,34,2147.3333333333335,22,3.7777777777777777,3.0,209,False
client10117,1,5,11053,15,2210.6,13,3.0,1.0,698,False
client10118,227,1,1813,17,1813.0,3,17.0,0.0,99,False
client10119,32,18,28132,109,1562.888888888889,49,6.055555555555555,5.0,98,False
client1012,86,8,18498,127,2312.25,91,15.875,2.0,17,False
client10120,41,14,98484,173,7034.571428571428,54,12.357142857142858,5.0,309,False
client10121,357,1,1694,6,1694.0,2,6.0,1.0,178,False
client10122,323,1,1193,6,1193.0,3,6.0,1.0,225,False
client10123,6,32,45491,171,1421.59375,86,5.34375,9.0,109,True
client10124,224,2,9102,64,4551.0,46,32.0,1.0,49,False
client10125,43,24,94881,333,3953.375,186,13.875,7.0,139,True
client10126,379,1,1577,11,1577.0,5,11.0,1.0,198,False
client10127,618,1,3211,27,3211.0,16,27.0,0.0,30,False
client10128,10,19,41308,148,2174.1052631578946,113,7.7894736842105265,5.0,1156,True
client10129,64,12,16697,501,1391.4166666666667,117,41.75,2.0,1130,False
client1013,26,30,61395,247,2046.5,83,8.233333333333333,5.0,359,False
client10130,93,7,4654,63,664.8571428571429,46,9.0,0.0,16,True
client10131,14,32,48641,176,1520.03125,47,5.5,12.0,558,False
client10132,7,41,19967,281,487.0,178,6.853658536585366,16.0,58,True
client10133,480,1,1908,12,1908.0,7,12.0,0.0,745,False
client10134,706,1,6264,7,6264.0,3,7.0,0.0,975,False
client10135,56,8,1820,19,227.5,5,2.375,4.0,165,False
client10136,372,2,2052,8,1026.0,7,4.0,1.0,398,False
client10137,658,1,1867,12,1867.0,7,12.0,1.0,759,False
client10139,259,3,6993,28,2331.0,10,9.333333333333334,1.0,29,False
client1014,1,9,61482,202,6831.333333333333,63,22.444444444444443,4.0,1520,True
client10140,572,3,4293,33,1431.0,17,11.0,0.0,78,False
client10141,395,1,5459,57,5459.0,6,57.0,0.0,399,False
client10143,16,9,11692,38,1299.111111111111,24,4.222222222222222,3.0,279,True
client10144,37,6,12758,39,2126.3333333333335,26,6.5,2.0,539,True
client10145,21,19,122856,280,6466.105263157895,68,14.736842105263158,7.0,2899,True
client10146,21,3,2898,34,966.0,21,11.333333333333334,1.0,20,True
client10147,55,15,8086,91,539.0666666666667,39,6.066666666666666,3.0,420,False
client10148,108,1,867,3,867.0,2,3.0,0.0,89,False
client10149,27,1,440,3,440.0,3,3.0,0.0,203,True
client1015,9,21,37246,216,1773.6190476190477,74,10.285714285714286,8.0,39,False
client10150,183,3,3628,12,1209.3333333333333,11,4.0,1.0,1399,False
client10151,9,1,3354,2,3354.0,2,2.0,0.0,55,False
client10152,125,4,16453,64,4113.25,13,16.0,1.0,102,False
client10153,503,1,1598,2,1598.0,2,2.0,0.0,599,False
client10154,88,5,4982,46,996.4,32,9.2,1.0,598,True
client10155,8,5,39178,79,7835.6,24,15.8,3.0,135,False
client10156,71,4,26950,32,6737.5,18,8.0,3.0,175,False
client10157,284,2,6603,13,3301.5,8,6.5,0.0,549,False
client10158,477,1,1008,20,1008.0,19,20.0,1.0,69,False
client1016,380,1,806,10,806.0,8,10.0,0.0,149,False
client10160,262,2,2479,9,1239.5,5,4.5,0.0,46,False
client10161,33,35,20901,145,597.1714285714286,81,4.142857142857143,6.0,379,True
client10162,13,4,4190,32,1047.5,20,8.0,1.0,118,True
client10163,44,19,41201,130,2168.4736842105262,62,6.842105263157895,7.0,95,False
client10164,123,1,6109,25,6109.0,6,25.0,0.0,238,False
client10165,56,3,15098,29,5032.666666666667,25,9.666666666666666,1.0,84,False
client10166,613,2,10541,15,5270.5,9,7.5,0.0,370,False
client10167,397,2,1217,7,608.5,6,3.5,1.0,99,False
client10168,15,29,35137,180,1211.6206896551723,81,6.206896551724138,8.0,25,False
client10169,475,1,1940,29,1940.0,23,29.0,0.0,139,False
client1017,355,2,15768,7,7884.0,5,3.5,1.0,25,False
client10170,697,1,1095,5,1095.0,5,5.0,0.0,19,False
client10171,20,10,14354,46,1435.4,33,4.6,4.0,3650,False
client10172,24,10,18856,43,1885.6,35,4.3,5.0,199,False
client10173,637,4,5593,74,1398.25,23,18.5,3.0,9,False
client10174,59,3,4514,30,1504.6666666666667,24,10.0,0.0,104,False
client10176,467,1,1276,12,1276.0,3,12.0,0.0,387,False
client10178,189,2,3627,3,1813.5,1,1.5,1.0,1299,False
client10179,21,2,1796,4,898.0,4,2.0,2.0,129,True
client1018,394,1,2488,4,2488.0,2,4.0,0.0,1998,False
client10181,208,1,1399,1,1399.0,1,1.0,0.0,1399,False
client10182,12,16,13259,60,828.6875,34,3.75,5.0,699,True
client10183,209,1,1223,30,1223.0,28,30.0,0.0,15,False
client10184,19,1,886,4,886.0,2,4.0,0.0,169,False
client10185,344,1,319,1,319.0,1,1.0,1.0,319,False
client10186,1,2,6933,19,3466.5,7,9.5,1.0,845,True
client10187,175,5,25453,105,5090.6,13,21.0,2.0,53,False
client10188,1,8,25890,104,3236.25,40,13.0,4.0,1198,False
client10189,637,6,23851,73,3975.1666666666665,28,12.166666666666666,1.0,248,False
client1019,12,3,17086,60,5695.333333333333,11,20.0,1.0,399,True
client10190,20,10,5926,49,592.6,18,4.9,5.0,458,True
client10191,453,1,2268,18,2268.0,8,18.0,0.0,87,False
client10192,109,4,5802,62,1450.5,48,15.5,0.0,149,False
client10193,88,3,12696,4,4232.0,3,1.3333333333333333,0.0,2199,False
client10194,92,2,3097,3,1548.5,3,1.5,1.0,916,False
client10195,3,13,5676,95,436.61538461538464,69,7.3076923076923075,3.0,65,True
client10196,68,17,12203,48,717.8235294117648,35,2.823529411764706,4.0,538,True
client10197,226,17,35482,134,2087.176470588235,22,7.882352941176471,7.0,771,False
client10198,70,1,7998,21,7998.0,5,21.0,1.0,29,False
client10199,3,26,16596,122,638.3076923076923,41,4.6923076923076925,5.0,237,True
client102,665,1,2354,2,2354.0,2,2.0,1.0,1862,False
client1020,493,1,10920,20,10920.0,2,20.0,0.0,3795,False
client10200,216,1,1214,6,1214.0,2,6.0,0.0,219,False
client10201,104,2,2521,20,1260.5,13,10.0,1.0,70,False
client10202,13,4,2126,12,531.5,7,3.0,0.0,229,False
client10203,98,11,26040,83,2367.2727272727275,29,7.545454545454546,7.0,125,True
client10204,11,18,36085,341,2004.7222222222222,88,18.944444444444443,4.0,59,False
client10205,84,6,19283,78,3213.8333333333335,25,13.0,3.0,890,True
client10206,34,20,102294,108,5114.7,65,5.4,3.0,12990,False
client10207,3,1,218,2,218.0,1,2.0,0.0,218,True
client10208,2,3,26474,41,8824.666666666666,12,13.666666666666666,1.0,89,False
client10209,18,1,1134,10,1134.0,4,10.0,0.0,676,False
client1021,43,6,11551,11,1925.1666666666667,8,1.8333333333333333,2.0,109,True
client10210,87,6,12085,25,2014.1666666666667,24,4.166666666666667,0.0,39,False
client10212,546,4,10277,40,2569.25,17,10.0,3.0,89,False
client10213,104,2,3498,17,1749.0,10,8.5,1.0,32,False
client10214,140,6,4071,34,678.5,33,5.666666666666667,2.0,49,False
client10215,414,1,7548,2,7548.0,2,2.0,1.0,349,False
client10216,81,3,5556,16,1852.0,8,5.333333333333333,1.0,139,False
client10217,60,5,5664,67,1132.8,40,13.4,0.0,55,False
client10218,162,1,2275,39,2275.0,28,39.0,1.0,20,True
client1022,233,3,13194,14,4398.0,10,4.666666666666667,1.0,163,False
client10220,2,13,22316,49,1716.6153846153845,23,3.769230769230769,0.0,15,False
client10221,547,2,4533,8,2266.5,5,4.0,1.0,1790,False
client10222,726,1,15798,2,15798.0,2,2.0,0.0,7499,False
client10223,64,2,3848,18,1924.0,10,9.0,1.0,99,False
client10224,25,2,10529,31,5264.5,10,15.5,1.0,625,True
client10225,209,2,13941,8,6970.5,6,4.0,1.0,2471,True
client10226,269,3,8896,4,2965.3333333333335,3,1.3333333333333333,1.0,398,False
client10228,416,2,1107,26,553.5,21,13.0,0.0,109,False
client10229,152,4,3995,53,998.75,41,13.25,2.0,399,False
client1023,508,1,932,8,932.0,6,8.0,0.0,699,False
client10230,82,1,258,2,258.0,2,2.0,0.0,199,False
client10231,2,48,232077,1475,4834.9375,111,30.729166666666668,18.0,298,True
client10232,293,2,4643,20,2321.5,13,10.0,0.0,90,False
client10233,104,4,667,19,166.75,7,4.75,0.0,81,False
client10234,18,2,10673,56,5336.5,9,28.0,0.0,95,True
client10235,50,10,8232,71,823.2,35,7.1,9.0,83,True
client10236,416,2,397,3,198.5,3,1.5,1.0,29,False
client10237,34,9,5460,30,606.6666666666666,22,3.3333333333333335,5.0,37,True
client10238,102,4,7623,15,1905.75,9,3.75,0.0,249,True
client10239,179,1,220,4,220.0,1,4.0,0.0,220,False
client10240,41,5,20885,37,4177.0,27,7.4,1.0,148,False
client10241,358,2,3399,26,1699.5,7,13.0,1.0,144,False
client10242,176,7,23513,98,3359.0,31,14.0,3.0,1602,False
client10243,166,1,1356,4,1356.0,4,4.0,0.0,129,False
client10244,22,9,25293,45,2810.3333333333335,17,5.0,3.0,38,False
client10245,497,2,4731,9,2365.5,4,4.5,1.0,119,False
client10246,97,2,4877,23,2438.5,12,11.5,1.0,858,False
client10247,384,2,1596,4,798.0,2,2.0,0.0,1047,False
client10248,83,20,35631,169,1781.55,79,8.45,3.0,410,False
client10249,50,4,3759,12,939.75,10,3.0,2.0,59,False
client1025,3,2,2057,9,1028.5,8,4.5,1.0,999,False
client10250,192,1,136,1,136.0,1,1.0,0.0,136,False
client10251,161,17,18951,158,1114.764705882353,42,9.294117647058824,6.0,112,False
client10252,17,3,105944,161,35314.666666666664,7,53.666666666666664,1.0,28578,False
client10253,82,1,94,2,94.0,2,2.0,0.0,79,False
client10254,18,15,24071,151,1604.7333333333333,72,10.066666666666666,3.0,469,True
client10255,151,2,4980,33,2490.0,11,16.5,0.0,399,False
client10256,611,1,999,1,999.0,1,1.0,0.0,999,False
client10257,527,1,2232,4,2232.0,2,4.0,0.0,165,False
client10258,51,1,556,4,556.0,1,4.0,0.0,556,False
client10259,518,1,1215,5,1215.0,4,5.0,1.0,65,False
client1026,297,5,13584,27,2716.8,16,5.4,0.0,62,False
client10260,91,2,3248,50,1624.0,8,25.0,1.0,125,True
client10261,234,3,13030,70,4343.333333333333,6,23.333333333333332,2.0,249,False
client10262,476,2,2691,9,1345.5,1,4.5,1.0,1196,False
client10263,6,22,108814,227,4946.090909090909,54,10.318181818181818,6.0,279,True
client10264,494,1,149,1,149.0,1,1.0,0.0,149,False
client10265,419,15,30968,384,2064.5333333333333,19,25.6,2.0,152,False
client10266,604,1,6499,2,6499.0,2,2.0,0.0,2100,False
client10267,25,3,1593,5,531.0,4,1.6666666666666667,2.0,549,True
client10268,560,1,3961,4,3961.0,4,4.0,1.0,378,False
client10269,201,3,15558,26,5186.0,13,8.666666666666666,0.0,329,False
client1027,134,1,518,7,518.0,7,7.0,1.0,16,False
client10270,502,4,4667,18,1166.75,8,4.5,1.0,198,False
client10271,350,5,2755,23,551.0,21,4.6,3.0,154,False
client10272,7,1,1299,1,1299.0,1,1.0,1.0,1299,False
client10273,157,10,19490,70,1949.0,31,7.0,2.0,49,False
client10274,138,3,8035,30,2678.3333333333335,3,10.0,0.0,8,False
client10275,231,8,15683,29,1960.375,15,3.625,6.0,59,False
client10277,90,2,3566,4,1783.0,4,2.0,0.0,108,False
client10278,340,1,684,33,684.0,2,33.0,0.0,387,False
client10279,72,9,6996,72,777.3333333333334,33,8.0,3.0,18,True
client1028,603,1,4836,20,4836.0,3,20.0,1.0,3330,False
client10280,39,8,128148,163,16018.5,12,20.375,3.0,6741,False
client10281,632,2,539,3,269.5,3,1.5,1.0,195,False
client10282,313,2,2888,7,1444.0,3,3.5,0.0,980,False
client10283,120,8,27974,67,3496.75,29,8.375,1.0,250,False
client10284,82,1,9557,10,9557.0,8,10.0,0.0,79,True
client10285,177,1,1145,5,1145.0,1,5.0,0.0,1145,False
client10286,348,2,2852,4,1426.0,4,2.0,0.0,45,False
client10287,105,2,2768,31,1384.0,25,15.5,1.0,169,False
client10288,20,1,10107,5,10107.0,4,5.0,0.0,299,True
client10289,143,4,26412,10,6603.0,8,2.5,0.0,1044,True
client1029,316,4,2568,19,642.0,14,4.75,2.0,55,False
client10290,22,1,6499,1,6499.0,1,1.0,1.0,6499,False
client10291,57,3,1304,6,434.6666666666667,6,2.0,1.0,69,False
client10292,106,4,2284,15,571.0,9,3.75,2.0,498,False
client10293,339,1,8358,2,8358.0,2,2.0,0.0,359,True
client10294,44,3,1450,24,483.3333333333333,20,8.0,1.0,9,False
client10295,406,1,1393,7,1393.0,2,7.0,1.0,1314,False
client10296,25,2,7446,4,3723.0,3,2.0,0.0,1049,False
client10297,22,19,33198,198,1747.2631578947369,55,10.421052631578947,7.0,197,False
client10298,25,6,17671,94,2945.1666666666665,39,15.666666666666666,3.0,1032,False
client10299,376,2,8696,3,4348.0,3,1.5,0.0,8499,False
client103,18,11,20174,160,1834.0,71,14.545454545454545,3.0,180,False
client1030,216,2,3740,10,1870.0,5,5.0,1.0,1499,False
client10300,239,5,13546,26,2709.2,11,5.2,2.0,5799,False
client10301,35,5,4433,17,886.6,14,3.4,1.0,392,False
client10302,85,3,2134,7,711.3333333333334,5,2.3333333333333335,1.0,399,False
client10303,15,3,30251,21,10083.666666666666,8,7.0,1.0,7128,False
client10304,101,2,9892,12,4946.0,8,6.0,0.0,82,False
client10305,167,3,1474,6,491.3333333333333,4,2.0,0.0,138,False
client10306,368,1,1126,4,1126.0,4,4.0,0.0,229,False
client10307,8,37,329869,766,8915.378378378378,154,20.7027027027027,12.0,1195,True
client10308,478,1,1124,11,1124.0,11,11.0,0.0,79,False
client10309,160,4,7572,48,1893.0,26,12.0,2.0,124,True
client1031,115,4,2675,57,668.75,29,14.25,1.0,90,False
client10310,119,1,2630,10,2630.0,7,10.0,1.0,1647,False
client10311,351,1,4949,7,4949.0,2,7.0,1.0,4382,False
client10312,41,2,4855,22,2427.5,14,11.0,1.0,775,False
client10313,125,4,9658,19,2414.5,5,4.75,1.0,3324,True
client10314,36,3,13199,11,4399.666666666667,9,3.6666666666666665,2.0,4990,False
client10315,267,1,1499,1,1499.0,1,1.0,1.0,1499,False
client10316,484,1,997,3,997.0,3,3.0,1.0,699,False
client10318,357,1,4893,9,4893.0,7,9.0,1.0,1799,False
client10319,232,3,1191,9,397.0,4,3.0,2.0,138,False
client1032,14,2,2553,13,1276.5,8,6.5,1.0,865,False
client10320,168,1,3102,24,3102.0,19,24.0,1.0,15,False
client10321,550,2,1215,7,607.5,7,3.5,0.0,899,False
client10322,106,6,2760,16,460.0,10,2.6666666666666665,1.0,99,True
client10323,122,5,13907,67,2781.4,28,13.4,2.0,54,False
client10324,96,1,9990,1,9990.0,1,1.0,0.0,9990,False
client10326,85,1,7820,10,7820.0,4,10.0,1.0,5979,False
client10327,51,1,2999,1,2999.0,1,1.0,0.0,2999,False
client10329,287,2,82,4,41.0,4,2.0,1.0,13,False
client1033,34,2,15932,38,7966.0,6,19.0,1.0,49,False
client10330,48,3,8002,46,2667.3333333333335,40,15.333333333333334,2.0,11,False
client10331,158,12,23458,148,1954.8333333333333,43,12.333333333333334,2.0,38,True
client10332,28,1,11793,30,11793.0,6,30.0,1.0,3198,False
client10333,27,5,11756,76,2351.2,36,15.2,2.0,49,False
client10334,290,1,2384,16,2384.0,1,16.0,0.0,2384,False
client10335,153,1,5148,2,5148.0,2,2.0,0.0,699,False
client10336,77,6,4556,48,759.3333333333334,34,8.0,4.0,28,False
client10337,192,4,6110,23,1527.5,18,5.75,2.0,84,False
client10338,12,6,4176,25,696.0,20,4.166666666666667,3.0,247,False
client10339,26,21,10917,153,519.8571428571429,75,7.285714285714286,7.0,78,False
client1034,83,1,3990,8,3990.0,5,8.0,0.0,35,False
client10340,19,16,39616,88,2476.0,63,5.5,5.0,562,True
client10342,214,2,1907,23,953.5,21,11.5,0.0,13,False
client10343,165,8,9391,41,1173.875,20,5.125,2.0,3199,False
client10344,508,2,4257,9,2128.5,7,4.5,1.0,1999,False
client10345,76,2,40889,45,20444.5,35,22.5,0.0,227,False
client10346,8,2,1056,9,528.0,5,4.5,2.0,12,False
client10347,109,1,657,3,657.0,3,3.0,0.0,219,False
client10348,281,1,249,1,249.0,1,1.0,1.0,249,False
client10349,686,1,8687,13,8687.0,7,13.0,1.0,199,False
client1035,131,8,33603,123,4200.375,55,15.375,2.0,42,False
client10350,56,11,9886,83,898.7272727272727,43,7.545454545454546,5.0,229,False
client10351,98,3,16867,35,5622.333333333333,27,11.666666666666666,2.0,179,False
client10352,618,1,3804,16,3804.0,8,16.0,0.0,385,False
client10353,587,1,3547,6,3547.0,3,6.0,0.0,88,False
client10354,363,1,1951,21,1951.0,5,21.0,0.0,366,False
client10357,343,1,5062,8,5062.0,6,8.0,1.0,89,False
client10358,138,1,811,5,811.0,4,5.0,0.0,379,False
client10359,53,2,6782,26,3391.0,10,13.0,0.0,795,False
client1036,711,1,2052,10,2052.0,6,10.0,0.0,1198,False
client10360,4,7,13824,14,1974.857142857143,13,2.0,3.0,209,True
client10361,25,1,60,4,60.0,1,4.0,0.0,60,False
client10362,155,5,15879,17,3175.8,5,3.4,1.0,520,False
client10363,68,4,15369,11,3842.25,8,2.75,2.0,549,False
client10364,20,4,3119,17,779.75,10,4.25,1.0,49,False
client10365,17,1,32424,33,32424.0,6,33.0,0.0,3000,False
client10366,88,1,5227,18,5227.0,7,18.0,0.0,322,True
client10367,18,28,39140,241,1397.857142857143,57,8.607142857142858,7.0,199,True
client10368,34,8,14277,53,1784.625,28,6.625,4.0,69,False
client10369,36,9,5181,111,575.6666666666666,67,12.333333333333334,4.0,29,True
client1037,342,1,1621,11,1621.0,6,11.0,0.0,89,False
client10370,16,17,62515,129,3677.3529411764707,39,7.588235294117647,6.0,429,True
client10371,2,5,7847,35,1569.4,18,7.0,1.0,125,True
client10372,24,6,10100,22,1683.3333333333333,14,3.6666666666666665,0.0,6499,False
client10373,55,23,21574,152,938.0,58,6.608695652173913,6.0,153,True
client10374,22,9,10046,35,1116.2222222222222,22,3.888888888888889,3.0,199,False
client10375,63,5,11505,17,2301.0,14,3.4,3.0,1099,True
client10376,176,15,85310,335,5687.333333333333,38,22.333333333333332,6.0,45,False
client10377,698,1,4930,4,4930.0,2,4.0,0.0,858,False
client10378,57,4,12937,30,3234.25,18,7.5,1.0,2847,False
client10379,13,10,67813,233,6781.3,40,23.3,3.0,3070,False
client1038,28,15,10447,55,696.4666666666667,30,3.6666666666666665,5.0,95,False
client10380,335,6,7225,40,1204.1666666666667,26,6.666666666666667,1.0,54,False
client10381,168,5,30376,51,6075.2,11,10.2,3.0,525,False
client10382,39,1,10246,36,10246.0,5,36.0,0.0,624,False
client10383,189,9,2750,24,305.55555555555554,18,2.6666666666666665,5.0,12,True
client10384,580,1,1803,9,1803.0,8,9.0,0.0,518,False
client10385,398,1,82,2,82.0,2,2.0,0.0,49,False
client10386,169,6,4472,35,745.3333333333334,11,5.833333333333333,3.0,635,False
client10387,31,2,7213,13,3606.5,4,6.5,0.0,464,False
client10388,58,2,1789,14,894.5,7,7.0,1.0,90,False
client10389,76,14,37780,192,2698.5714285714284,103,13.714285714285714,1.0,75,True
client1039,396,1,1441,10,1441.0,6,10.0,0.0,26,False
